time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-1,6,1,-22,-2,6,1,-2,-3,-2,-5,-1
1.0,-1,6,1,-22,-2,6,1,-2,-3,-2,-5,-1
2.0,-1,6,1,-22,-2,6,1,-2,-3,-2,-5,-1
3.0,-1,5,1,-22,-2,6,1,-2,-3,-2,-5,-1
4.0,-1,5,1,-22,-2,6,1,-2,-3,-2,-5,-1
5.0,-1,5,1,-21,-2,6,1,-2,-3,-2,-5,-1
6.0,-1,5,1,-20,-2,6,1,-2,-3,-2,-5,-1
7.0,-1,5,1,-19,-2,6,2,-2,-3,-2,-5,-1
8.0,-1,5,1,-19,-2,6,2,-2,-3,-2,-5,-1
9.0,-2,5,1,-18,-2,6,2,-2,-4,-2,-5,-1
10.0,-2,5,1,-17,-2,6,2,-2,-4,-2,-5,-1
11.0,-2,5,1,-16,-2,6,2,-2,-4,-2,-5,-1
12.0,-2,5,1,-16,-2,6,2,-2,-4,-2,-5,-1
13.0,-2,5,1,-15,-2,6,2,-2,-4,-2,-5,-1
14.0,-2,5,1,-15,-2,7,2,-2,-4,-2,-5,-1
15.0,-2,5,1,-14,-2,7,2,-2,-4,-2,-5,-1
16.0,-2,5,1,-14,-2,7,2,-2,-4,-2,-5,-1
17.0,-2,4,1,-14,-2,7,2,-2,-4,-2,-5,-1
18.0,-2,4,1,-13,-2,7,2,-2,-4,-2,-5,-1
19.0,-2,4,1,-13,-2,7,2,-2,-4,-2,-5,-1
20.0,-2,4,1,-13,-2,7,2,-2,-4,-2,-5,-1
21.0,-2,4,1,-13,-2,7,2,-2,-4,-2,-5,-1
22.0,-2,4,1,-14,-2,7,2,-2,-4,-2,-5,-1
23.0,-2,4,1,-14,-2,7,2,-2,-4,-2,-5,-1
24.0,-2,4,1,-14,-2,7,2,-2,-4,-2,-5,-1
25.0,-2,4,1,-14,-2,7,2,-2,-4,-2,-5,-1
26.0,-2,4,1,-14,-2,8,2,-2,-4,-2,-5,-1
27.0,-2,4,1,-15,-2,8,2,-2,-4,-2,-5,-1
28.0,-2,4,1,-17,-2,8,1,-2,-4,-2,-5,-1
29.0,-2,4,1,-18,-2,8,1,-2,-4,-2,-5,-1
30.0,-2,4,1,-19,-2,8,1,-2,-4,-2,-5,-1
31.0,-2,4,1,-20,-2,9,1,-2,-4,-2,-5,-1
32.0,-2,4,1,-20,-2,9,1,-2,-4,-2,-5,-1
33.0,-2,4,1,-21,-2,9,1,-2,-4,-2,-5,-1
34.0,-2,4,1,-22,-2,9,1,-2,-4,-2,-5,-1
35.0,-3,4,1,-22,-2,9,1,-2,-4,-2,-5,-1
36.0,-3,4,1,-22,-2,10,1,-2,-4,-2,-5,-1
37.0,-3,4,1,-22,-2,10,1,-2,-4,-2,-5,-1
38.0,-3,4,1,-23,-1,10,1,-2,-4,-2,-5,-1
39.0,-3,4,1,-23,-1,10,1,-2,-4,-2,-5,-1
40.0,-3,4,1,-22,-1,10,1,-2,-4,-2,-5,-1
41.0,-3,4,1,-22,-1,11,1,-2,-4,-2,-5,-1
42.0,-3,4,1,-22,-1,11,1,-2,-4,-2,-5,-1
43.0,-3,4,1,-22,-1,11,1,-2,-4,-2,-5,-1
44.0,-3,4,1,-22,-1,12,1,-2,-4,-2,-5,-1
45.0,-3,4,1,-22,-1,12,1,-2,-4,-2,-5,-1
46.0,-3,4,1,-22,-1,12,1,-2,-4,-2,-5,-1
47.0,-3,4,1,-22,-1,13,2,-2,-4,-2,-5,-1
48.0,-3,4,1,-19,-1,13,2,-2,-4,-2,-5,-1
