time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,1,0,0,0,0,0,2,14,12,0,-1,-1
1.0,1,0,0,0,0,0,2,14,11,0,-1,-1
2.0,1,0,0,0,0,0,2,14,5,0,-1,-1
3.0,1,0,0,0,0,0,2,14,8,0,-1,-1
4.0,1,0,0,0,0,0,2,14,12,0,-1,-1
5.0,1,0,0,0,0,0,2,11,7,0,-1,-1
6.0,1,0,0,0,0,0,2,9,5,0,-1,-1
7.0,1,0,0,0,0,0,2,19,16,0,-1,-1
8.0,1,0,0,0,0,0,2,20,17,0,-1,-1
9.0,1,0,0,0,0,0,2,20,17,0,-1,-1
10.0,1,0,0,0,0,0,2,20,17,0,-1,-1
11.0,1,0,0,0,0,0,2,20,17,0,-1,-1
12.0,1,0,0,0,0,0,2,20,17,0,-1,-1
13.0,1,0,0,0,0,0,2,20,17,0,-1,-1
14.0,1,0,0,0,0,0,2,13,17,0,-1,-1
15.0,1,0,0,0,0,0,2,12,6,0,-1,-1
16.0,1,0,0,0,0,0,2,12,5,0,-1,-1
17.0,0,0,0,0,0,0,2,12,5,0,-1,-1
18.0,0,0,0,0,0,0,3,12,5,0,-1,-1
19.0,0,0,0,0,0,0,3,12,4,0,-1,-1
20.0,0,-1,0,0,0,0,3,12,4,0,-1,-1
21.0,0,-1,0,0,0,0,3,12,4,0,-1,-1
22.0,0,0,0,0,0,0,2,12,4,0,-1,-1
23.0,0,0,0,0,0,0,2,12,4,0,-1,-1
24.0,1,0,0,0,0,0,2,12,4,0,-1,-1
25.0,1,0,0,0,0,0,2,12,4,0,-1,-1
26.0,1,0,0,0,0,0,2,12,4,0,-1,-1
27.0,0,0,0,0,0,0,2,12,4,0,-1,-1
28.0,0,0,0,0,0,0,2,12,4,0,0,-1
29.0,0,0,0,0,0,0,2,11,4,0,0,-1
30.0,0,0,0,0,0,0,3,11,4,0,0,-1
31.0,0,0,0,0,0,0,3,11,4,0,0,-1
32.0,0,0,0,0,0,0,3,11,4,0,0,-1
33.0,0,0,0,0,0,0,3,11,4,0,0,-1
34.0,0,0,0,0,0,0,3,11,4,0,0,-1
35.0,0,0,0,1,0,0,3,11,4,0,0,-1
36.0,0,0,0,1,0,0,3,11,4,0,0,0
37.0,0,0,0,1,0,0,3,11,4,0,0,0
38.0,0,-1,0,1,0,0,3,11,4,0,0,0
39.0,0,-1,0,1,0,0,3,11,4,0,0,0
40.0,0,-1,0,1,0,0,3,11,4,0,0,0
41.0,0,-1,0,1,0,0,3,11,4,0,0,0
42.0,0,0,0,1,0,0,3,11,4,0,0,0
43.0,0,0,0,1,-1,0,3,11,4,0,0,0
44.0,0,0,0,1,-1,0,3,11,3,0,0,0
45.0,0,0,0,1,-1,0,3,11,3,0,0,0
46.0,0,0,0,1,-1,0,3,11,3,0,0,0
47.0,0,0,0,1,-1,0,3,10,3,0,0,0
48.0,0,0,0,1,-1,0,3,10,3,0,0,0
49.0,0,0,0,1,-1,0,3,10,3,0,0,0
50.0,0,0,0,1,-1,0,3,10,3,0,0,0
51.0,0,0,0,1,-1,0,3,10,3,0,0,0
52.0,0,0,0,1,-1,0,3,10,3,0,0,0
53.0,0,0,0,1,-1,0,3,10,3,0,0,0
54.0,0,0,0,1,-1,0,3,10,3,0,0,0
55.0,0,0,0,1,-1,0,3,10,3,0,0,0
56.0,0,0,0,1,-1,0,3,10,3,0,0,0
57.0,0,0,0,1,-1,0,3,10,3,0,0,0
58.0,0,-1,0,1,-1,0,3,10,3,0,0,0
59.0,0,-1,0,1,-1,0,3,10,3,0,0,0
60.0,0,-1,0,1,-1,0,3,10,3,0,0,0
61.0,0,-1,0,1,-1,0,3,9,3,0,0,0
62.0,0,0,0,1,-1,0,2,9,3,0,0,0
63.0,0,0,0,1,-1,0,2,9,2,0,0,0
64.0,0,0,0,1,-1,0,2,9,2,0,0,0
65.0,0,0,0,1,0,0,2,9,2,0,0,0
66.0,0,0,0,1,0,0,2,9,2,0,0,0
67.0,0,0,0,1,0,0,2,9,2,0,0,0
68.0,0,-2,0,1,0,0,0,7,-24,-1,-1,-1
69.0,1,-20,-6,3,1,-6,-2,-8,-40,-6,-6,-17
70.0,2,-22,-7,4,3,-7,-2,-10,-39,-8,-7,-18
71.0,2,-19,-7,4,3,-7,-2,-7,-29,-7,-6,-16
72.0,2,-15,-7,3,3,-7,0,-3,-18,-7,-6,-12
73.0,2,-9,-6,3,2,-6,0,2,-2,-5,-5,-7
74.0,1,-3,-4,2,1,-4,1,7,8,-4,-3,-2
75.0,1,0,-3,1,1,-3,2,10,13,-3,-3,0
76.0,1,1,-2,1,1,-2,2,11,15,-3,-2,1
77.0,1,3,-1,1,0,-1,3,12,15,-2,-1,2
78.0,1,4,0,1,0,-1,3,13,15,-1,-1,3
79.0,0,4,0,0,0,0,3,13,14,-1,-1,3
80.0,0,4,0,0,0,0,3,13,12,-1,0,3
81.0,0,4,0,0,0,0,4,13,11,0,0,3
82.0,0,4,0,0,0,0,4,13,9,0,0,3
83.0,0,4,0,0,0,0,4,13,9,0,0,3
84.0,0,4,1,0,-1,0,4,13,7,0,0,2
85.0,0,3,1,0,-1,0,3,12,6,0,0,2
86.0,0,3,1,0,-1,1,3,12,5,0,0,2
87.0,0,2,1,0,-1,1,3,11,5,0,0,1
88.0,0,2,1,0,-1,1,3,11,5,0,0,1
89.0,1,2,1,0,-1,1,3,11,4,0,0,1
90.0,1,1,1,0,-1,1,3,11,4,0,0,0
91.0,1,1,1,0,-1,1,3,10,4,0,0,0
92.0,1,1,1,0,-1,1,3,10,4,0,0,0
93.0,0,1,1,0,-1,1,3,10,4,0,0,0
94.0,0,0,1,0,-1,1,3,10,4,0,0,0
95.0,0,0,1,0,-1,1,3,10,4,0,0,0
96.0,0,0,1,0,-1,1,3,10,4,0,0,0
97.0,0,0,1,0,-1,1,3,10,4,0,0,0
98.0,0,0,1,0,-1,1,3,10,4,0,0,0
99.0,0,0,1,0,-1,1,3,10,4,0,0,0
100.0,0,0,1,0,-1,1,3,11,4,0,0,0
101.0,0,0,1,0,-1,1,4,11,4,0,0,0
102.0,0,0,1,0,-1,1,4,11,4,0,0,0
103.0,0,0,1,0,-1,1,4,11,5,0,0,0
104.0,0,0,1,0,-1,1,4,11,5,0,0,0
105.0,0,0,1,0,-1,1,4,11,5,0,0,0
106.0,0,0,1,0,-1,1,4,11,5,0,0,0
107.0,0,0,1,0,-1,1,4,11,5,0,0,0
108.0,0,0,1,0,-1,1,4,12,6,0,0,0
109.0,0,0,1,0,-1,1,4,12,6,0,0,0
110.0,0,0,1,0,-1,0,4,12,6,0,0,0
111.0,0,0,1,0,-1,0,4,12,6,0,0,0
112.0,0,0,1,0,-1,0,3,12,6,0,0,0
113.0,1,0,1,0,-1,0,3,12,6,0,0,0
114.0,1,0,1,0,-1,0,3,12,7,0,0,0
115.0,1,0,1,0,-1,0,3,12,7,0,0,0
